GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_04018	124.44	132.38	87.05	91.72	116.95	112.49	129.48	121.74	145.14	97.53	90.85	113.91	122.29	116.25	104.87	101.12	151.63	168.63	138.51	127.03	140.58	139.58	121.87	103.80	137.34	158.53	108.38	132.93	123.05	24.58	51.42	140.72	0.11	135.58	137.23	110.88	121.68	0.00	107.15	132.07	156.71	139.71	92.70	96.08	130.24	131.69	125.16	138.45
QG37_04019	109.39	135.77	93.11	85.55	127.65	112.77	136.73	118.51	138.46	106.09	100.07	104.40	132.64	120.87	105.77	102.07	155.32	201.59	144.01	143.51	126.42	172.47	137.31	112.12	152.55	176.82	113.26	134.80	111.53	26.97	49.45	131.27	0.60	147.41	113.54	101.53	121.96	0.32	102.30	159.38	163.07	131.78	97.95	97.97	121.80	122.20	107.58	155.41
QG37_04020	137.43	132.71	82.52	81.54	119.31	112.96	118.49	121.49	131.24	105.55	87.88	120.76	114.48	103.12	112.64	113.50	158.93	154.41	140.27	141.37	139.57	130.75	127.32	119.27	144.87	140.72	121.65	137.75	102.85	28.23	64.28	143.39	0.74	129.05	118.21	97.78	108.97	0.22	95.47	123.78	139.12	117.93	88.55	100.63	126.49	113.22	104.57	135.78
QG37_04021	117.53	112.81	67.51	85.48	135.32	90.91	101.13	102.86	121.78	103.35	87.35	109.83	104.50	99.15	88.21	129.40	105.34	156.56	109.70	116.12	103.60	116.31	122.58	102.42	123.94	144.49	86.09	131.48	100.08	22.88	50.03	121.84	0.00	100.17	114.80	85.20	107.09	0.00	91.75	113.69	122.74	103.97	89.83	62.64	122.57	104.58	78.57	136.15
QG37_04022	139.39	146.25	89.27	78.27	121.24	98.18	124.18	131.61	136.21	125.78	94.31	121.79	118.19	134.71	118.37	114.48	142.57	157.97	131.68	131.43	115.17	135.48	126.03	125.59	138.98	158.41	119.24	129.24	130.44	29.58	62.28	132.31	0.00	132.26	120.38	101.43	108.06	0.00	108.69	127.75	160.43	127.96	106.44	95.11	129.21	114.19	103.53	157.64
QG37_04023	113.75	138.60	83.32	65.00	109.09	87.20	120.02	120.06	111.75	120.66	88.43	100.61	96.81	100.94	89.32	123.22	130.76	147.80	121.09	126.96	113.98	120.05	146.56	108.54	115.70	147.52	93.97	127.44	113.51	23.85	70.21	109.09	0.00	96.38	110.08	95.02	77.52	0.00	91.94	105.84	138.40	121.14	92.92	89.82	112.57	107.56	103.42	148.25
QG37_04024	143.04	139.57	90.45	82.57	135.03	154.14	136.09	132.28	141.62	131.49	109.70	109.14	136.39	124.09	123.94	131.01	148.35	183.79	156.04	145.15	134.11	132.67	160.03	122.73	139.62	185.26	115.23	149.56	128.43	30.36	53.95	141.80	0.48	117.53	101.95	91.78	98.46	0.00	82.15	110.19	138.84	119.95	93.71	86.50	96.66	99.00	88.52	137.16
QG37_04025	92.06	111.22	70.79	68.09	111.10	108.83	97.39	115.44	120.69	97.30	89.80	83.12	92.26	90.03	100.90	95.95	111.34	128.22	117.00	101.66	104.26	98.70	125.34	84.99	100.46	120.59	89.22	127.50	92.90	16.49	50.47	96.84	0.00	114.01	107.52	88.47	103.24	0.00	84.11	94.32	144.72	111.25	83.45	91.61	94.31	108.07	98.42	133.86
QG37_04026	127.37	126.47	68.39	76.15	109.71	118.28	93.77	106.41	114.82	103.22	91.58	91.06	102.89	92.01	100.59	118.51	127.96	141.07	106.48	99.63	115.50	95.92	115.59	92.61	106.07	137.32	89.40	123.18	99.45	20.91	59.22	99.37	0.49	112.97	105.96	78.44	103.83	0.00	88.89	106.45	138.25	111.68	77.57	80.29	99.84	107.93	91.48	127.77
QG37_04027	132.45	134.94	67.90	74.46	121.80	107.90	125.19	106.86	140.56	120.28	90.61	98.77	100.34	103.45	93.69	107.52	151.78	151.14	132.65	120.56	132.69	147.21	132.36	100.50	123.12	157.25	108.60	147.18	102.58	19.74	61.61	116.67	0.45	127.12	119.26	101.10	117.69	0.26	95.61	113.78	145.49	121.59	102.01	92.77	117.22	111.46	102.84	124.04
