GENE	COVERAGE	STRAIN	GROUP
QG37_07244	0.3262	CDC_B11096	Pakistan
QG37_07244	0.2322	CDC_B11097	Pakistan
QG37_07244	0.2898	CDC_B11098	Pakistan
QG37_07244	0.2407	CDC_B11099	Pakistan
QG37_07244	0.2349	CDC_B11101	Pakistan
QG37_07244	0.2763	CDC_B11102	Pakistan
QG37_07244	0.3476	CDC_B11103	Pakistan
QG37_07244	0.2955	CDC_B11105	Pakistan
QG37_07244	0.2741	CDC_B11112	Pakistan
QG37_07244	0.2022	CDC_B11113	Pakistan
QG37_07244	0.3185	CDC_B11114	Pakistan
QG37_07244	0.2127	CDC_B11115	Pakistan
QG37_07244	0.3426	CDC_B11116	Pakistan
QG37_07244	0.3584	CDC_B11117	Pakistan
QG37_07244	0.2875	CDC_B11118	Pakistan
QG37_07244	0.3358	CDC_B11119	Pakistan
QG37_07244	0.2466	CDC_B11200	India
QG37_07244	0.2586	CDC_B11201	India
QG37_07244	0.2653	CDC_B11205	India
QG37_07244	0.2614	CDC_B11206	India
QG37_07244	0.2951	CDC_B11207	India
QG37_07244	0.2827	CDC_B11208	India
QG37_07244	0.2593	CDC_B11209	India
QG37_07244	0.2365	CDC_B11210	India
QG37_07244	0.2559	CDC_B11212	India
QG37_07244	0.2330	CDC_B11213	India
QG37_07244	0.2323	CDC_B11214	India
QG37_07244	0.2644	CDC_B11215	India
QG37_07244	0.3020	CDC_B11216	India
QG37_07244	0.2943	CDC_B11217	India
QG37_07244	0.3640	CDC_B11218	India
QG37_07244	0.1875	CDC_B11219	India
QG37_07244	0.3411	CDC_B11220	Japan
QG37_07244	0.1893	CDC_B11221	South Africa
QG37_07244	0.1876	CDC_B11222	South Africa
QG37_07244	0.1666	CDC_B11223	South Africa
QG37_07244	0.1125	CDC_B11224	South Africa
QG37_07244	0.2486	CDC_B11225	South Africa
QG37_07244	0.1548	CDC_B11226	South Africa
QG37_07244	0.1613	CDC_B11227	South Africa
QG37_07244	0.1908	CDC_B11228	South Africa
QG37_07244	0.1603	CDC_B11229	South Africa
QG37_07244	0.1913	CDC_B11230	South Africa
QG37_07244	0.2510	CDC_B11243	Venezuela
QG37_07244	0.1472	CDC_B11244	Venezuela
QG37_07244	0.1293	CDC_B11245	Venezuela
QG37_07244	0.1241	CDC_B11246	Venezuela
QG37_07244	0.1636	CDC_B11247	Venezuela
QG37_07245	0.7852	CDC_B11096	Pakistan
QG37_07245	0.7255	CDC_B11097	Pakistan
QG37_07245	0.8052	CDC_B11098	Pakistan
QG37_07245	0.8146	CDC_B11099	Pakistan
QG37_07245	0.7158	CDC_B11101	Pakistan
QG37_07245	0.7447	CDC_B11102	Pakistan
QG37_07245	0.9038	CDC_B11103	Pakistan
QG37_07245	0.8221	CDC_B11105	Pakistan
QG37_07245	0.7573	CDC_B11112	Pakistan
QG37_07245	0.7854	CDC_B11113	Pakistan
QG37_07245	0.8013	CDC_B11114	Pakistan
QG37_07245	0.7274	CDC_B11115	Pakistan
QG37_07245	0.8194	CDC_B11116	Pakistan
QG37_07245	0.8320	CDC_B11117	Pakistan
QG37_07245	0.8886	CDC_B11118	Pakistan
QG37_07245	0.8991	CDC_B11119	Pakistan
QG37_07245	0.8139	CDC_B11200	India
QG37_07245	0.7904	CDC_B11201	India
QG37_07245	0.7398	CDC_B11205	India
QG37_07245	0.7477	CDC_B11206	India
QG37_07245	0.8589	CDC_B11207	India
QG37_07245	0.8277	CDC_B11208	India
QG37_07245	0.7838	CDC_B11209	India
QG37_07245	0.7112	CDC_B11210	India
QG37_07245	0.7754	CDC_B11212	India
QG37_07245	0.8087	CDC_B11213	India
QG37_07245	0.7297	CDC_B11214	India
QG37_07245	0.7031	CDC_B11215	India
QG37_07245	0.7210	CDC_B11216	India
QG37_07245	0.7054	CDC_B11217	India
QG37_07245	0.8404	CDC_B11218	India
QG37_07245	0.6782	CDC_B11219	India
QG37_07245	0.7318	CDC_B11220	Japan
QG37_07245	0.7316	CDC_B11221	South Africa
QG37_07245	0.8208	CDC_B11222	South Africa
QG37_07245	0.6924	CDC_B11223	South Africa
QG37_07245	0.7404	CDC_B11224	South Africa
QG37_07245	0.7862	CDC_B11225	South Africa
QG37_07245	0.6893	CDC_B11226	South Africa
